Region,Region Type,Year,Reliance on Government Transfers,Uncollected Taxes,3 Year Change in Tax Base,Reliance on Single Business or Instituion,Residential Tax Effort,Total # of Deficits,Total # of Budget Accuracy within + or - 5% ,Liquidity,Operating Reserve,Debt Service Cost,Outstanding Operating Debt,Undepreciated Assets,Combined Operating   Capital Reserves
Truro,Town,2018-19,0.099,0.066,0.042,0.02,0.042,0,5,1.5,0.083,0.087,0.09,0.597,0.171
Westville,Town,2018-19,0.196,0.075,0.046,0.01,0.033,0,3,1.2,0.023,0.097,0,0.502,0.152
Windsor,Town,2018-19,0.08,0.065,0.011,0.042,0.048,0,3,3.7,0.405,0.115,0,0.677,0.734
Wolfville,Town,2018-19,0.011,0.057,0.075,0.006,0.042,0,5,3.7,0.255,0.075,0,0.559,0.606
Yarmouth,Town,2018-19,0.047,0.087,0.006,0.042,0.044,2,4,3.3,0.228,0.031,0,0.593,0.332
Annapolis,Rural Municipality,2018-19,0.056,0.059,0.07,0.013,0.024,1,5,1.3,0.099,0.019,0.06,0.555,0.444
Antigonish,Rural Municipality,2018-19,0.009,0.054,0.127,0.007,0.018,0,3,1.8,0.312,0.025,0,0.574,1.297
Argyle,Rural Municipality,2018-19,0.039,0.05,0.049,0.003,0.017,0,5,4.1,0.564,0.024,0,0.653,1.09
Barrington,Rural Municipality,2018-19,0.042,0.124,0.024,0.009,0.018,1,5,3.5,0.213,0.017,0,0.543,0.574
Chester,Rural Municipality,2018-19,0.009,0.069,0.096,0.003,0.035,0,0,4.2,0.878,0.107,0,0.399,0.907
Clare,Rural Municipality,2018-19,0.051,0.059,0.055,0.008,0.019,1,2,1.6,0.203,0.041,0,0.556,0.649
Colchester,Rural Municipality,2018-19,0.042,0.088,0.08,0.012,0.021,1,5,6,0.239,0.091,0.021,0.515,0.315
Cumberland,Rural Municipality,2018-19,0.074,0.1,0.062,0.023,0.024,1,5,1.1,0.081,0.036,0.377,0.748,0.359
Digby,Rural Municipality,2018-19,0.053,0.101,0.072,0.064,0.023,0,4,7.4,0.7,0.032,0,0.641,0.683
East Hants,Rural Municipality,2018-19,0.017,0.04,0.11,0.012,0.027,0,4,3.6,0.629,0.119,0.16,0.641,0.822
Guysborough,Rural Municipality,2018-19,0.009,0.041,0.005,0.161,0.013,0,3,3.7,0.878,0.066,0,0.612,1.273
Inverness,Rural Municipality,2018-19,0.065,0.087,0.074,0.014,0.017,0,5,5.2,0.827,0.019,0,0.558,1.049
Kings,Rural Municipality,2018-19,0.005,0.038,0.071,0.026,0.022,0,4,2.3,0.301,0.027,0,0.52,0.919
Lunenburg,Rural Municipality,2018-19,0.003,0.066,0.063,0.004,0.023,0,2,4.9,0.955,0.062,0,0.726,1.356
Pictou,Rural Municipality,2018-19,0.019,0.06,0.094,0.026,0.018,0,2,2.3,0.29,0,0.04,0.718,0.466
Richmond,Rural Municipality,2018-19,0.008,0.163,0.099,0.089,0.014,1,2,2.5,0.479,0.046,0.027,0.596,0.685
Shelburne,Rural Municipality,2018-19,0.014,0.045,0.048,0.012,0.023,0,2,4.9,0.595,0,0.016,0.493,1.16
St. Mary's,Rural Municipality,2018-19,0.074,0.09,0.048,0.1,0.015,1,5,3.3,0.692,0.064,0.022,0.577,0.811
Victoria,Rural Municipality,2018-19,0.011,0.139,0.078,0.077,0.023,0,5,2.2,0.388,0.003,0,0.659,0.601
West Hants,Rural Municipality,2018-19,0.015,0.138,0.089,0.01,0.024,0,4,1.8,0.276,0.069,0,0.662,0.476
Yarmouth,Rural Municipality,2018-19,0.065,0.07,0.05,0.01,0.026,0,3,3.7,0.597,0.045,0,0.616,0.855
CBRM,Regional Municipality,2017-18,0.126,0.177,0.073,0.015,0.027,0,5,1.1,0.051,0.143,0.12,0.613,0.053
HRM,Regional Municipality,2017-18,0.016,0.045,0.13,0.016,0.036,1,5,1.6,0.103,0.068,0.003,0.519,0.228
Queens,Regional Municipality,2017-18,0.082,0.108,0.053,0.038,0.027,0,5,4,0.46,0.024,0,0.68,0.587
Amherst,Town,2017-18,0.107,0.022,0.06,0.017,0.035,0,3,2.5,0.223,0.084,0,0.613,0.293
Annapolis Royal,Town,2017-18,0.192,0.03,0.162,0.173,0.041,0,3,4.3,0.19,0.01,0,0.494,0.546
Antigonish,Town,2017-18,0.032,0.04,0.07,0.023,0.031,1,5,1.3,0.142,0.048,0.085,0.558,0.32
Berwick,Town,2017-18,0.088,0.089,0.047,0.048,0.038,0,4,1.2,0.08,0.069,0.116,0.555,0.236
Bridgewater,Town,2017-18,0.055,0.043,0.068,0.051,0.045,1,4,1.8,0.203,0.052,0,0.505,0.346
Clark's Harbour,Town,2017-18,0.172,0.05,0.049,0.025,0.025,1,5,1.7,0.056,0.052,0,0.409,0.409
Digby,Town,2017-18,0.093,0.112,0.031,0.053,0.051,0,5,2.7,0.293,0.054,0,0.483,0.396
Kentville,Town,2017-18,0.026,0.028,0.041,0.024,0.038,0,5,3.1,0.105,0.1,0.024,0.595,1.18
Lockeport,Town,2017-18,0.149,0.115,0.058,0.135,0.034,2,2,1.8,0.124,0.072,0,0.347,0.249
Lunenburg,Town,2017-18,0.011,0.02,0.06,0.026,0.049,0,5,1.1,0.03,0.048,0,0.593,0.233
Mahone Bay,Town,2017-18,0.022,0.065,0.072,0.015,0.047,1,4,3.3,0.12,0.027,0,0.55,0.552
Middleton,Town,2017-18,0.115,0.048,0.053,0.011,0.047,0,3,3.6,0.118,0.098,0,0.541,0.31
Mulgrave,Town,2017-18,0.093,0.038,0.04,0.183,0.022,1,3,2.7,0.062,0.035,0,0.347,0.481
New Glasgow,Town,2017-18,0.088,0.111,0.055,0.032,0.04,0,5,1.4,0.061,0.098,0.105,0.535,0.088
Oxford,Town,2017-18,0.115,0.022,0.008,0.306,0.03,1,5,1.4,0.09,0.16,0.008,0.505,0.135
Pictou,Town,2017-18,0.112,0.185,0.016,0.025,0.039,1,4,1.5,0.108,0.111,0,0.545,0.151
Port Hawkesbury,Town,2017-18,0.081,0.062,-0.011,0.069,0.027,0,4,7.4,0.315,0.096,0,0.536,0.491
Shelburne,Town,2017-18,0.133,0.094,0.062,0.039,0.042,0,4,1.4,0.125,0.041,0,0.451,0.208
Stellarton,Town,2017-18,0.088,0.04,0.052,0.054,0.031,0,4,1.8,0.223,0.064,0,0.523,0.381
Stewiacke,Town,2017-18,0.115,0.084,0.146,0.017,0.04,2,1,1.6,0.139,0.052,0,0.565,0.363
Trenton,Town,2017-18,0.117,0.136,0.04,0.16,0.029,0,5,1.2,0.051,0.057,0.176,0.548,0.054
Truro,Town,2017-18,0.099,0.071,0.044,0.018,0.041,0,5,1.3,0.048,0.1,0.103,0.621,0.136
Westville,Town,2017-18,0.191,0.082,0.055,0.01,0.033,0,3,1,0.002,0.101,0,0.527,0.076
Windsor,Town,2017-18,0.082,0.081,0.034,0.027,0.047,0,3,3.4,0.436,0.082,0,0.7,0.867
Wolfville,Town,2017-18,0.014,0.048,0.083,0.006,0.042,0,5,4.5,0.264,0.071,0,0.574,0.526
Yarmouth,Town,2017-18,0.049,0.082,-0.017,0.043,0.044,2,4,2.7,0.195,0.033,0,0.611,0.314
Annapolis,Rural Municipality,2017-18,0.059,0.056,0.116,0.013,0.024,1,4,1.2,0.126,0.041,0.207,0.552,0.487
Antigonish,Rural Municipality,2017-18,0.007,0.046,0.101,0.026,0.017,1,4,2.4,0.307,0.027,0,0.59,1.241
Argyle,Rural Municipality,2017-18,0.038,0.057,0.04,0.016,0.017,0,4,3.3,0.549,0.025,0,0.659,1.096
Barrington,Rural Municipality,2017-18,0.054,0.125,0.014,0.007,0.017,1,5,2.7,0.151,0.018,0,0.558,0.475
Chester,Rural Municipality,2017-18,0.01,0.084,0.07,0.028,0.034,0,1,5.7,0.737,0.102,0,0.424,0.772
Clare,Rural Municipality,2017-18,0.051,0.081,0.066,0.008,0.018,1,3,2.6,0.216,0.043,0,0.543,0.65
Colchester,Rural Municipality,2017-18,0.039,0.09,0.084,0.013,0.021,1,5,4.6,0.234,0.098,0.046,0.539,0.307
Cumberland,Rural Municipality,2017-18,0.102,0.135,0.064,0.024,0.022,1,4,1.2,0.091,0.03,0.256,0.799,0.315
Digby,Rural Municipality,2017-18,0.053,0.104,0.072,0.06,0.022,0,3,7.1,0.67,0.033,0,0.666,0.668
East Hants,Rural Municipality,2017-18,0.021,0.039,0.111,0.01,0.027,0,3,2.2,0.592,0.103,0.173,0.653,0.776
Guysborough,Rural Municipality,2017-18,0.01,0.03,-0.031,0.172,0.012,0,3,4.4,1.041,0.067,0,0.623,1.575
Inverness,Rural Municipality,2017-18,0.046,0.099,0.051,0.012,0.016,0,5,4.2,0.877,0.037,0,0.597,1.135
Kings,Rural Municipality,2017-18,0.006,0.036,0.074,0.024,0.021,0,5,2.6,0.292,0.035,0,0.498,0.898
Lunenburg,Rural Municipality,2017-18,0.004,0.069,0.064,0.004,0.022,0,3,2.3,0.782,0.067,0,0.73,1.181
Pictou,Rural Municipality,2017-18,0.019,0.06,0.095,0.028,0.017,0,3,2.1,0.345,0,0.074,0.733,0.442
Richmond,Rural Municipality,2017-18,0.015,0.186,0.046,0.09,0.014,1,3,2.1,0.47,0.048,0.116,0.604,0.649
Shelburne,Rural Municipality,2017-18,0.014,0.075,0.05,0.013,0.022,0,2,2.3,0.429,0,0.063,0.532,0.915
St. Mary's,Rural Municipality,2017-18,0.077,0.095,0.024,0.106,0.014,2,5,5.5,0.702,0.068,0,0.606,0.865
Victoria,Rural Municipality,2017-18,0.009,0.175,0.048,0.076,0.022,0,5,2.2,0.357,0.004,0,0.668,0.531
West Hants,Rural Municipality,2017-18,0.075,0.135,0.164,0.01,0.024,0,4,3.6,0.228,0.068,0,0.693,0.303
Yarmouth,Rural Municipality,2017-18,0.076,0.072,0.039,0.01,0.025,0,3,3.9,0.499,0.048,0,0.631,0.655
CBRM,Regional Municipality,2016-17,0.129,0.167,0.109,0.011,0.027,0,5,1.1,0.065,0.149,0.134,0.629,0.073
HRM,Regional Municipality,2016-17,0.015,0.044,0.159,0.015,0.035,1,5,1.2,0.062,0.073,0.004,0.531,0.233
Queens,Regional Municipality,2016-17,0.079,0.126,0.052,0.036,0.027,0,5,4.2,0.354,0.029,0,0.696,0.49
Amherst,Town,2016-17,0.109,0.043,0.055,0.017,0.034,0,4,2.2,0.208,0.075,0,0.615,0.252
Annapolis Royal,Town,2016-17,0.135,0.033,0.065,0.175,0.039,0,3,4,0.192,0.014,0,0.466,0.849
Antigonish,Town,2016-17,0.032,0.046,0.104,0.023,0.029,1,5,1.2,0.11,0.039,0.31,0.547,0.29
Berwick,Town,2016-17,0.105,0.065,0.14,0.048,0.037,0,4,1.2,0.078,0.064,0.25,0.566,0.236
Bridgewater,Town,2016-17,0.052,0.042,0.087,0.051,0.044,1,3,2,0.2,0.082,0,0.517,0.347
Clark's Harbour,Town,2016-17,0.174,0.054,0.004,0.026,0.024,2,5,1.2,0.004,0.055,0,0.429,0.316
Digby,Town,2016-17,0.099,0.115,0.036,0.053,0.051,0,5,2.7,0.218,0.066,0,0.497,0.364
Kentville,Town,2016-17,0.028,0.027,0.061,0.024,0.037,0,5,4.2,0.156,0.097,0,0.604,1.313
Lockeport,Town,2016-17,0.184,0.105,0.087,0.135,0.033,2,1,1.7,0.061,0.073,0,0.364,0.188
Lunenburg,Town,2016-17,0.014,0.069,0.066,0.027,0.049,0,5,1.2,0.062,0.052,0,0.545,0.325
Mahone Bay,Town,2016-17,0.024,0.054,0.097,0.015,0.046,0,4,6.4,0.126,0.05,0,0.505,0.421
Middleton,Town,2016-17,0.118,0.088,0.058,0.012,0.046,0,2,4.5,0.15,0.103,0,0.56,0.427
Mulgrave,Town,2016-17,0.101,0.061,0.028,0.191,0.022,1,2,2.8,0.065,0.034,0,0.325,0.427
New Glasgow,Town,2016-17,0.09,0.113,0.076,0.032,0.04,0,5,1.2,0.052,0.098,0.236,0.543,0.084
Oxford,Town,2016-17,0.098,0.027,0.031,0.242,0.029,0,5,1.9,0.145,0.139,0,0.519,0.185
Pictou,Town,2016-17,0.106,0.146,0.06,0.023,0.038,1,5,1.3,0.067,0.088,0.185,0.565,0.115
Port Hawkesbury,Town,2016-17,0.068,0.075,-0.013,0.069,0.027,0,5,7,0.259,0.105,0,0.536,0.417
Shelburne,Town,2016-17,0.132,0.085,0.085,0.038,0.041,0,3,2.1,0.208,0.026,0,0.444,0.26
Stellarton,Town,2016-17,0.091,0.088,0.113,0.053,0.031,0,5,2.2,0.214,0.067,0,0.51,0.369
Stewiacke,Town,2016-17,0.133,0.072,0.181,0.017,0.039,1,2,2.3,0.093,0.078,0,0.514,0.411
Trenton,Town,2016-17,0.114,0.103,0.04,0.16,0.029,0,5,1.3,0.096,0.029,0.116,0.483,0.139
Truro,Town,2016-17,0.099,0.089,0.055,0.019,0.04,1,5,1.3,0.049,0.104,0.186,0.646,0.117
Westville,Town,2016-17,0.2,0.116,0.099,0.01,0.033,0,4,1.6,0.064,0.111,0,0.539,0.162
Windsor,Town,2016-17,0.077,0.076,0.057,0.027,0.046,0,3,3.5,0.387,0.077,0,0.708,0.866
Wolfville,Town,2016-17,0.019,0.049,0.119,0.006,0.041,0,4,2.7,0.245,0.067,0,0.58,0.537
Yarmouth,Town,2016-17,0.059,0.072,-0.008,0.042,0.043,1,4,4.3,0.161,0.036,0,0.623,0.213
Annapolis,Rural Municipality,2016-17,0.06,0.051,0.092,0.011,0.023,0,4,1.4,0.143,0.044,0.069,0.533,0.477
Antigonish,Rural Municipality,2016-17,0.008,0.05,0.134,0.014,0.017,1,3,1.8,0.3,0.028,0,0.59,1.283
Argyle,Rural Municipality,2016-17,0.045,0.05,0.054,0.016,0.017,0,4,4.6,0.77,0.026,0,0.654,1.376
Barrington,Rural Municipality,2016-17,0.045,0.138,0.042,0.007,0.017,0,5,5.6,0.134,0.028,0,0.577,0.381
Chester,Rural Municipality,2016-17,0.013,0.092,0.091,0.003,0.032,0,2,6.2,0.669,0.118,0,0.389,0.659
Clare,Rural Municipality,2016-17,0.049,0.071,0.078,0.008,0.018,1,4,1.6,0.07,0.044,0,0.551,0.466
Colchester,Rural Municipality,2016-17,0.064,0.075,0.1,0.013,0.02,1,4,3.5,0.216,0.097,0.077,0.564,0.273
Cumberland,Rural Municipality,2016-17,0.077,0.137,0.126,0.023,0.021,2,4,1.2,0.161,0.029,0.147,0.774,0.388
Digby,Rural Municipality,2016-17,0.053,0.099,0.102,0.053,0.022,0,2,5.2,0.078,0.024,0,0.684,0.121
East Hants,Rural Municipality,2016-17,0.022,0.04,0.144,0.01,0.026,0,2,2.2,0.55,0.099,0.186,0.678,0.692
Guysborough,Rural Municipality,2016-17,0.03,0.034,-0.011,0.169,0.012,0,3,6,1.292,0.07,0,0.581,1.624
Inverness,Rural Municipality,2016-17,0.061,0.144,0.072,0.013,0.016,0,5,4.5,0.924,0.024,0,0.615,1.275
Kings,Rural Municipality,2016-17,0.005,0.042,0.098,0.024,0.021,0,5,2,0.248,0.04,0,0.502,0.798
Lunenburg,Rural Municipality,2016-17,0.005,0.068,0.089,0.004,0.023,0,4,1.8,0.649,0.067,0,0.804,0.926
Pictou,Rural Municipality,2016-17,0.019,0.04,0.109,0.029,0.018,0,4,2.2,0.269,0,0,0.729,0.305
Richmond,Rural Municipality,2016-17,0.003,0.194,0.019,0.087,0.014,1,4,2,0.328,0.052,0.135,0.618,0.425
Shelburne,Rural Municipality,2016-17,0.056,0.075,0.067,0.013,0.021,1,2,4.2,0.395,0,0,0.561,0.865
St. Mary's,Rural Municipality,2016-17,0.099,0.097,0.022,0.107,0.013,3,5,3.1,0.662,0.065,0,0.639,0.876
Victoria,Rural Municipality,2016-17,0.017,0.187,0.059,0.074,0.022,0,4,2.2,0.301,0.01,0,0.704,0.456
West Hants,Rural Municipality,2016-17,0.02,0.101,0.1,0.009,0.023,0,5,2.3,0.078,0.062,0,0.688,0.176
Yarmouth,Rural Municipality,2016-17,0.068,0.079,0.045,0.01,0.025,0,2,6.5,0.643,0.032,0,0.624,0.893
